id,titulo,tipo,estado,esforco,responsavel_atual,data_criacao,adicionado_meio_sprint
2378,"Perfil ADM - Tela Grupos não deve ver o botão ""Novo""",Product Backlog Item,Done,0,Não atribuído,2025-05-02T19:27:47.043Z,False
2499,Documento Diverso - API do PBM - Criar o ponto de montagem (parte-2) - (T14920),Product Backlog Item,Approved,0,Não atribuído,2025-05-07T20:07:18.16Z,False
2719,SLA 15/05 às 09:26 - Chamado 1425903 - Grupo Pratidonaduzzi - configurar 2 e-mails completos na AWS,Product Backlog Item,Done,0,Não atribuído,2025-05-13T17:28:14.47Z,False
2936,Expurgo - Script para limpar o PDFs do Documento Diverso da base do PIS,Product Backlog Item,Approved,0,Não atribuído,2025-05-16T12:43:29.203Z,False
2588,RECON - E-mails da recon não está sendo enviado para os destinatários,Product Backlog Item,Approved,0,Não atribuído,2025-05-09T19:51:08.82Z,False
2644,Documento Diverso - API do PBM - Atualização da Carga e PBM (parte-3),Product Backlog Item,Approved,0,Não atribuído,2025-05-12T14:23:39.023Z,False
2638,PBM - Tela Boletos - Visualização das notificações dos boletos agrupados ou não,Product Backlog Item,Approved,0,Não atribuído,2025-05-12T13:25:40.377Z,False
2640,(bug) PBM - Ao criar um usuário consulta está dando erro ao salvar o login,Product Backlog Item,Done,0,Não atribuído,2025-05-12T13:28:37.18Z,False
2383,Carga V2 - Chamado 1350861 - Alertar no CHAT quando houver divergência de convênio,Product Backlog Item,Done,0,Não atribuído,2025-05-02T19:35:35.813Z,False
2582,PagLuna - Alertar no Chat quando estamos com algum erro de comunicação com o Portal Luna,Product Backlog Item,Approved,0,Não atribuído,2025-05-09T16:38:26.787Z,False
2583,Incluir o serviço do PagLuna na fila de Alerta,Product Backlog Item,Done,0,Não atribuído,2025-05-09T16:40:13.45Z,False
2418,Portal de Boletos - autenticação AD Finnet - planejamento,Product Backlog Item,Done,0,Não atribuído,2025-05-06T13:02:48.237Z,False
2419,Portal do BO - autenticação AD Finnet,Task,To Do,0,Não atribuído,2025-05-06T13:11:26.533Z,False
2384,(bug) BO Itaú - Tag protesto não enviada ao fazer o registro online,Bug,Done,0,Não atribuído,2025-05-02T19:38:54.693Z,False
2865,SLA geral: 16/05/2025 12:04 - Chamado Grupo Bauducco - configurar domínio na AWS,Product Backlog Item,Done,0,Não atribuído,2025-05-14T20:59:17.153Z,False
2867,Chamado 1426843 -BLIPS - Banco Votorantim - boleto híbrido - ajuste na data dos juros e multa,Product Backlog Item,Done,0,Não atribuído,2025-05-14T21:04:24.017Z,False
2896,Webhook CEF - (4) Arquitetura e Modelagem,Product Backlog Item,New,0,Não atribuído,2025-05-15T18:18:03.843Z,False
2374,SMS - Atualização da versão da API,Product Backlog Item,New,0,Não atribuído,2025-05-02T19:20:38.113Z,False
2618,Expurgo - Executar a exclusão efetivamente,Product Backlog Item,New,0,Não atribuído,2025-05-12T13:16:40.523Z,False
2733,Técnico - Aplicar tags no recursos da AWS,Product Backlog Item,New,0,Não atribuído,2025-05-13T17:53:22.357Z,False
2617,Expurgo - Executar a salva dos dados na base de expurgo,Product Backlog Item,Done,0,Não atribuído,2025-05-12T13:16:12.787Z,False
2381,Portal do Pagador PB: Atualizar Assunto do e-mail de  1o acesso do Usuário Pagador,Product Backlog Item,Approved,0,Não atribuído,2025-05-02T19:32:36.133Z,False
2881,Carga V2 - Ajustar o horário do relatório final do consolidado enviado por e-mail,Product Backlog Item,Done,0,Não atribuído,2025-05-15T12:29:00.72Z,False
2389,Portal do Pagador PB - Exibir tootip nos ícones,Product Backlog Item,Approved,0,Não atribuído,2025-05-02T19:45:42.333Z,False
2375,API do BO - SICOOB - Instrução Prorrogação,Product Backlog Item,Approved,0,Não atribuído,2025-05-02T19:22:30.403Z,False
2577,POC - Projeto de observabilidade para a equipe de onboard (Power BI e Tableau),Product Backlog Item,New,0,Não atribuído,2025-05-09T16:21:36.43Z,False
2387,Carga V2 - Testes Unitários,Product Backlog Item,New,0,Não atribuído,2025-05-02T19:44:13.733Z,False
2489,PagLuna - Exibir o logo da Cobrança (T15652),Product Backlog Item,Done,0,Não atribuído,2025-05-07T17:05:04.89Z,False
2532,API do BO - tag documento_modalidade - validação geral,Product Backlog Item,Done,0,Não atribuído,2025-05-08T19:27:46.217Z,False
2575,Chamado 1409473 - Grupo Equatorial - MAPAPIAL - troca de credenciais em produção,Product Backlog Item,Done,0,Não atribuído,2025-05-09T16:19:00.65Z,False
2944,Santander - Certificado novo - passo a passo - data limite 26/06/2025 - GMUD 14/06,Product Backlog Item,New,0,Não atribuído,2025-05-16T18:13:42.8Z,False
