id_item,coluna,data_transicao
2378,New,2025-05-02T19:27:47.043Z
2378,New,2025-05-02T19:27:47.263Z
2378,New,2025-05-02T19:28:44.87Z
2378,New,2025-05-06T12:57:43.85Z
2378,Approved,2025-05-12T16:15:22.197Z
2378,Approved,2025-05-12T16:22:04.227Z
2378,Approved,2025-05-12T20:02:58.233Z
2378,Concluído,2025-05-12T20:03:06.25Z
2378,Concluído,2025-05-13T18:48:42.417Z
2378,Concluído,2025-05-13T20:14:21.103Z
2378,Concluído,2025-05-15T18:46:26.397Z
2499,New,2025-05-07T20:07:18.16Z
2499,New,2025-05-12T14:28:22.33Z
2499,Approved,2025-05-12T16:22:04.043Z
2499,Approved,2025-05-12T16:22:04.227Z
2499,Approved,2025-05-13T19:53:29.473Z
2499,Approved,2025-05-13T19:53:34.687Z
2499,Approved,2025-05-16T13:59:36.8Z
2719,New,2025-05-13T17:28:14.47Z
2719,Approved,2025-05-13T18:50:55.317Z
2719,Approved,2025-05-13T18:57:42.877Z
2719,Concluído,2025-05-13T18:57:46.013Z
2719,Concluído,2025-05-13T20:15:08.877Z
2719,Concluído,2025-05-13T20:16:57.227Z
2719,Concluído,2025-05-14T21:13:26.493Z
2936,New,2025-05-16T12:43:29.203Z
2936,New,2025-05-16T19:46:24.58Z
2936,New,2025-05-16T19:46:24.877Z
2936,New,2025-05-16T19:47:01.693Z
2936,New,2025-05-16T19:47:18.943Z
2936,New,2025-05-16T19:48:21.75Z
2936,Approved,2025-05-16T19:48:28.187Z
2936,Approved,2025-05-16T19:48:28.423Z
2588,New,2025-05-09T19:51:08.82Z
2588,New,2025-05-12T16:28:13.823Z
2588,New,2025-05-13T17:51:21.397Z
2588,New,2025-05-13T17:51:21.583Z
2588,New,2025-05-14T12:29:52.833Z
2588,New,2025-05-15T20:01:05.283Z
2588,New,2025-05-16T14:42:19.61Z
2588,Approved,2025-05-16T14:42:44.94Z
2588,Approved,2025-05-16T14:42:45.333Z
2644,New,2025-05-12T14:23:39.023Z
2644,New,2025-05-12T14:28:29.293Z
2644,Approved,2025-05-12T16:26:14.28Z
2644,Approved,2025-05-12T16:26:14.437Z
2638,New,2025-05-12T13:25:40.377Z
2638,New,2025-05-12T14:37:27.173Z
2638,New,2025-05-12T16:30:39.02Z
2638,New,2025-05-12T16:30:39.193Z
2638,Approved,2025-05-12T16:23:22.76Z
2638,Approved,2025-05-12T16:23:22.903Z
2638,Approved,2025-05-13T17:50:10.42Z
2638,Approved,2025-05-13T17:50:10.773Z
2640,New,2025-05-12T13:28:37.18Z
2640,Approved,2025-05-12T16:31:17.71Z
2640,Approved,2025-05-12T16:31:17.9Z
2640,Approved,2025-05-13T17:43:49.87Z
2640,Concluído,2025-05-13T17:45:44.497Z
2640,Concluído,2025-05-13T20:13:42.86Z
2640,Concluído,2025-05-15T18:46:14.6Z
2383,New,2025-05-02T19:35:35.813Z
2383,New,2025-05-02T19:35:36.08Z
2383,New,2025-05-02T19:36:09.51Z
2383,New,2025-05-12T14:37:12.217Z
2383,New,2025-05-12T16:17:51.613Z
2383,New,2025-05-12T16:18:17.307Z
2383,Approved,2025-05-13T17:50:56.373Z
2383,Approved,2025-05-13T17:50:56.573Z
2383,Approved,2025-05-13T19:35:27.16Z
2383,Approved,2025-05-13T19:35:27.353Z
2383,Approved,2025-05-13T20:18:15.837Z
2383,Approved,2025-05-14T14:20:21.073Z
2383,Approved,2025-05-14T19:33:58.78Z
2383,Approved,2025-05-14T21:10:16.577Z
2383,Concluído,2025-05-14T21:10:19.23Z
2383,Concluído,2025-05-15T18:45:19.543Z
2582,New,2025-05-09T16:38:26.787Z
2582,New,2025-05-09T16:38:31.867Z
2582,New,2025-05-12T16:28:13.823Z
2582,New,2025-05-12T16:38:02.597Z
2582,Committed,2025-05-12T16:38:12.58Z
2582,Approved,2025-05-13T17:50:32.837Z
2582,Approved,2025-05-13T17:50:35.223Z
2582,Approved,2025-05-13T17:50:35.407Z
2583,New,2025-05-09T16:40:13.45Z
2583,New,2025-05-12T14:26:58.04Z
2583,New,2025-05-12T16:28:13.823Z
2583,Approved,2025-05-12T16:32:03.393Z
2583,Approved,2025-05-12T16:32:03.57Z
2583,Approved,2025-05-13T17:44:02.827Z
2583,Approved,2025-05-13T17:44:03.19Z
2583,Concluído,2025-05-13T17:45:45.813Z
2583,Concluído,2025-05-13T20:13:59.92Z
2583,Concluído,2025-05-15T18:45:58.893Z
2418,New,2025-05-06T13:02:48.237Z
2418,New,2025-05-06T13:10:15.913Z
2418,New,2025-05-12T14:32:37.7Z
2418,New,2025-05-12T16:19:30.09Z
2418,New,2025-05-12T16:19:30.27Z
2418,Approved,2025-05-13T17:45:42.473Z
2418,Approved,2025-05-13T17:45:42.73Z
2418,Concluído,2025-05-13T17:45:46.94Z
2418,Concluído,2025-05-13T20:14:59.357Z
2419,To Do,2025-05-06T13:11:26.533Z
2384,New,2025-05-02T19:38:54.693Z
2384,New,2025-05-02T19:38:54.947Z
2384,New,2025-05-02T19:39:09.653Z
2384,New,2025-05-02T19:40:09.87Z
2384,New,2025-05-07T16:22:00.61Z
2384,New,2025-05-12T14:29:30.48Z
2384,New,2025-05-12T14:33:34.153Z
2384,New,2025-05-12T16:15:58.43Z
2384,New,2025-05-13T18:47:34.27Z
2384,New,2025-05-13T19:53:46.45Z
2384,New,2025-05-13T19:55:00.137Z
2384,New,2025-05-13T19:55:07.02Z
2384,New,2025-05-13T19:55:12.727Z
2384,Approved,2025-05-16T12:24:11.513Z
2384,Concluído,2025-05-16T12:24:43.743Z
2384,Concluído,2025-05-16T14:03:37.6Z
2384,Concluído,2025-05-16T14:07:34.307Z
